lap_var,blur
1675.799603578828,0
363.03054911603493,2
857.4801556006051,1
380.4822849007094,1
1850.7986051293494,0
397.9610501009044,2
932.8964270537922,1
388.9087393821603,1
1960.8148894036333,0
1693.644033848927,2
872.0430546793813,1
376.9967765275388,1
1820.8727166622214,0
407.0055478826728,2
867.1264689013977,1
392.7569425865616,1
1986.0687734254227,0
327.8562702548498,2
827.3463623874956,1
381.7662876920028,1
1439.599203406652,0
188.43256314973843,2
698.6958867647778,1
134.58774322889644,1
1420.6876197516654,0
225.31529403368438,2
710.1249114582936,1
127.37639393237606,1
1356.9556114489492,0
264.90942343704404,2
648.4676650851164,1
128.86565570682262,1
1382.8476817636258,0
742.4759171644272,2
558.1772438782529,1
134.17242134406217,1
1250.9351961704297,0
236.35502643329437,2
585.0564482053974,1
128.38713352533617,1
828.0232769104134,0
289.31266577961566,2
669.6900947746938,1
312.52209769270837,1
1234.8250930810216,0
314.31765231833333,2
693.8565551188796,1
306.3227631891144,1
1127.9473603997124,0
300.5113691465035,2
623.1729041666617,1
279.3022196978775,1
1081.8228896436071,0
264.6648546364949,2
587.4890319649737,1
298.68399550748273,1
1077.0396718540353,0
250.55528152755844,2
579.5081301852038,1
276.94492916609266,1
480.6008991394957,0
293.5057264135523,2
320.259166337109,1
306.6716789462867,1
606.0241004372758,0
302.6255046847326,2
341.3112206927082,1
308.16258151503644,1
598.4091237932944,0
318.02729188442714,2
332.66059726630834,1
313.38070312280263,1
402.4313114118394,0
321.3713010282974,2
309.1753554182159,1
333.6962972751496,1
571.6717634242175,0
259.95494687464856,2
316.52705148369097,1
304.38990251133237,1
311.8459811645444,0
113.75934874538954,2
173.85334412746084,1
102.17712783677054,1
367.7231744015233,0
119.23886245442604,2
188.60493122655274,1
96.99655035281879,1
382.4672275936388,0
128.99863904108042,2
184.58988070619537,1
95.16432341608046,1
339.7653619716015,0
168.81751611822892,2
148.5402492181095,1
102.13176873166232,1
348.8564042479036,0
138.80838682623258,2
161.3518391966049,1
105.98030280859372,1
412.6573640389745,0
270.49128637864476,2
325.6272897620636,1
278.68444335741503,1
481.64258382955614,0
373.8559546509633,2
343.904445205857,1
278.3797877222646,1
448.48388222546737,0
263.5716817245636,2
325.8708650808788,1
272.3344749997875,1
420.80482807104033,0
245.9938369786172,2
311.5970643059624,1
272.13086908887766,1
369.9196757594402,0
257.36711096348046,2
301.90397912326387,1
251.7266369763994,1
753.6775835289052,0
303.48757227666687,2
408.7468087199118,1
323.3400162133721,1
850.1469487257282,0
399.19377535452236,2
419.52024478850234,1
337.6531340458158,1
865.0487218130199,0
327.1912015614905,2
426.8647260408757,1
324.5222862941393,1
736.7797906190583,0
299.1877124016916,2
419.23382001581626,1
341.2779364513889,1
891.3548743824842,0
587.2582944668269,2
403.7572557071329,1
327.7090555720701,1
502.9295184169749,0
124.1872104598174,2
242.41006727218308,1
111.57684973963518,1
524.0961884631502,0
121.48907797947484,2
247.4579910676081,1
102.1117513742705,1
492.7924328121285,0
122.61488384018854,2
240.54606820426164,1
104.93238593403628,1
529.7535305050236,0
150.98905627282875,2
209.17720549100233,1
107.65842187475582,1
513.222731379557,0
120.9125506082639,2
229.68610566541227,1
111.7224402943751,1
518.8926754012692,0
264.561510871191,2
359.3866702679155,1
283.81472214921774,1
635.7950963139588,0
327.12524942966064,2
407.7286853285318,1
284.13330255533185,1
574.9683628579037,0
258.8751476130197,2
360.08680832902655,1
283.31250465253885,1
552.0585848792837,0
252.43284271103929,2
367.00824383493784,1
287.8723581242177,1
513.5778432282854,0
247.97231388383213,2
344.4166613387324,1
254.12389424182703,1
782.2579055744746,0
441.1600905024998,2
424.9572560650586,1
511.0630322029124,1
871.6897037378903,0
387.44648696011717,2
466.19548538190014,1
504.7250393378638,1
884.1946473859374,0
402.48847809581605,2
470.2600385091916,1
496.3950224397039,1
718.8158031248171,0
502.62523062388,2
453.96944179591026,1
543.5243385414834,1
885.3384213389301,0
680.388079639876,2
460.3336124969519,1
534.5211437438967,1
337.78649504068983,0
156.11469349686502,2
143.09638895856085,1
119.2075110995822,1
381.6416764078707,0
129.02375937270403,2
146.76475518826388,1
108.71258031542295,1
390.211337439566,0
131.7766786379012,2
144.11148177050117,1
108.35403072422285,1
365.984667152539,0
148.36744372525933,2
132.60621244180751,1
116.92554998957895,1
386.86134468658804,0
138.97411069088432,2
136.61653311942715,1
117.13097395731091,1
383.78812644166584,0
299.27577955997265,2
327.08275328189103,1
313.25845872560535,1
501.5365492632641,0
323.40399895562075,2
339.3093848508981,1
313.1094811157223,1
477.9943436655373,0
248.3892864582941,2
322.64447540159256,1
295.9241531139311,1
412.71497366830647,0
260.7372276030207,2
326.0813244965972,1
318.93315051995177,1
417.32631749921774,0
229.82214089635383,2
294.26326948109266,1
285.6199285163085,1
864.3208890470053,0
428.84212276800076,2
503.9917038386064,1
516.4992108274284,1
1120.8856511751235,0
443.7901098944659,2
545.1290255193076,1
541.4535392422956,1
1111.5798597765922,0
480.64538901303996,2
555.539444098522,1
490.044492417183,1
930.7322204894001,0
511.9222508858063,2
545.9351473083494,1
511.4005112687457,1
1137.6348957476555,0
554.8965832144522,2
567.3327994324477,1
491.55100986539014,1
480.8935967174902,0
174.22640600414925,2
215.72041835020735,1
124.69636571311608,1
514.4756838460479,0
138.21305882859994,2
218.40972603749552,1
126.47253719405275,1
527.371682792283,0
195.92255726492095,2
207.2371067491078,1
117.94052811414929,1
499.16741446872277,0
213.65747445651004,2
206.30280017138,1
118.19734582846245,1
506.16665133239974,0
167.58191621804588,2
210.8215878994246,1
123.6958675476821,1
439.67723058182276,0
276.96792962156877,2
358.65197641920946,1
330.063742605546,1
570.4976934523738,0
316.68733133228733,2
366.8487065346983,1
316.70342391275926,1
568.5571968736704,0
279.502051974983,2
344.8824104867834,1
337.0127645805111,1
462.9827595873046,0
290.7948817890092,2
349.1716473919749,1
320.1196255193074,1
486.42787791889975,0
234.78922966159914,2
333.1415221785412,1
304.44785134326133,1
502.72617975551674,0
352.28206113027323,2
274.09086907494697,1
411.5278866260091,1
561.626238467183,0
309.31741145551086,2
301.68820520659716,1
388.54079448676674,1
590.2188478344503,0
296.71052644611945,2
316.42544010128876,1
405.467633015754,1
470.5631642357248,0
293.00279216292296,2
296.189404160563,1
371.03160570982817,1
620.9967624932281,0
280.0398449907983,2
331.8794526041599,1
433.00898718124546,1
301.3318004442663,0
147.4604937499826,2
149.43787849688565,1
152.7322585962931,1
333.0849728090008,0
94.57657447879534,2
147.50230877060946,1
127.60216493870419,1
322.9814557291206,0
140.18994944650362,2
139.72961822545332,1
